dailyid,year,month,day,dayofweek,hour,minute,latitude,longitude,os,home_countryname,plmn,plmn_countryname,setting_currency,setting_language,setting_country,logtype_category,logtype_subcategory,accuracy,speed,estimated_speed_flag,course,estimated_course_flag,prefcode,citycode,mesh100mid,home_prefcode,home_citycode,workplace_prefcode,workplace_citycode,transportation_type
0817e435c49e95c534a9dcbc481ef87bc67ddd85eb9724b1ddf49784734ea404ba92756790f0b7ab306f6ac930d5dd16,2019,10,1,2,0,0,35.900383,140.055030,Android,Japan,44010,Japan,,ja,,,,21.411,0,2,,,08,08217,5340608404,08,08217,13,13102,
705a7f4559fe7f91195ff8e1dd8fffe791f2dbfe369b1e12a45b01e3033cc3974231cee27f6df78a1a090d75efdb2581,2019,10,1,2,0,0,35.680925,139.719522,Android,Japan,44010,Japan,,ja,,,,22.379,,,124.114,2,13,13104,5339451775,13,13121,13,13121,
8f4371a2f0297f44bc2706b09b2092c0a81ed0f0b92e0191ddd043e06799b78f9139edef56d8cda30d8c612fc92d9fa4,2019,10,1,2,0,0,35.663829,139.899617,Android,Japan,44010,Japan,,ja,,,,17.556,0.061,2,,,12,12227,5339379169,12,12227,11,11107,
ad98e3bca232dcc96877e37a362a0e4ae7bda44742737496d79342b13e118518733daf5df991c88b9311d67623146ab9,2019,10,1,2,0,0,35.662785,139.869747,Android,Japan,44010,Japan,,ja,,,,13.538,,,,,13,13123,5339369955,13,13123,13,13108,
8f4371a2f0297f44bc2706b09b2092c0a81ed0f0b92e0191ddd043e06799b78f9139edef56d8cda30d8c612fc92d9fa4,2019,10,1,2,0,0,35.663829,139.899617,Android,Japan,44010,Japan,,ja,,,,13.557,0,2,310.03,2,12,12227,5339379169,12,12227,11,11107,
adb869eae7beda5610ed24d5efb308cbbd01ccc0717b174a3482725b524aa67ba2673f5202915c2bea6dc6aaf8af46c7,2019,10,1,2,0,0,35.708493,139.627347,Android,Japan,44010,Japan,,ja,,,,23.38,,,243.434,2,13,13115,5339455001,13,13115,13,13101,
61f6acf508dbbf4daf8c762daca4b09bfb9b594ff2f44d6732341905a9f15c1a09468e38d0ec166baa596f8ea2a59606,2019,10,1,2,0,0,35.649278,139.804647,Android,Japan,44010,Japan,,ja,,,,16,,,,,13,13108,5339367493,13,13108,13,13101,
8b8b5338718b200634234d070fd89830cc92d3512d06bec5c25672c4a07422b81bae117a9a8be0f00303bc2357dd4e5c,2019,10,1,2,0,0,35.656258,139.808271,Android,Japan,44010,Japan,,ja,,,,15.12,,,245.556,2,13,13108,5339368476,13,13108,13,13103,
139f3da3d42b0803db661ce1807c80493fdb76e144950024645dc5a7fffe6cae22de12771ea1b931d44bce1c033b5665,2019,10,1,2,0,0,35.704529,139.904161,Android,Japan,44020,Japan,,ja,,,,22.33,,,224.999,2,13,13123,5339474253,13,13123,13,13108,
84bdbabe4c6f8d624e44181e4c010a059080505cf431a9cefb87a14b986c59257616b6519f7e54ee319d59d57dab6e8e,2019,10,1,2,0,0,35.742897,139.643150,Android,Japan,44051,Japan,,ja,,,,14.108,,,299.744,2,13,13120,5339459114,13,13120,13,13103,
beb16707b4c4e734a8091f181ba24b06ab1ab14362b35fd4013c1079b432044d3a9b87f5a757539fd2e409303c0a77f4,2019,10,1,2,0,0,35.621120,140.103837,Android,Japan,44020,Japan,,ja,,,,14.612,,,221.054,2,12,12101,5340304853,12,12103,13,13108,
